City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Dzhebariki-Khaya,RU,2021-09-16 01:37:53,62.2167,135.8,57.42,60,100,1.92
202,Slave Lake,CA,2021-09-16 01:37:53,55.2834,-114.769,46.38,76,75,19.57
203,Sakakah,SA,2021-09-16 01:37:53,29.9697,40.2064,80.17,25,3,6.62
204,Kapoeta,SS,2021-09-16 01:37:54,4.7717,33.5903,73.13,75,79,4.92
205,Grindavik,IS,2021-09-16 01:37:54,63.8424,-22.4338,55.35,100,90,18.41
206,Jalingo,NG,2021-09-16 01:37:54,8.8833,11.3667,74.23,94,100,2.75
207,North Bend,US,2021-09-16 01:37:54,43.4065,-124.2243,60.93,59,1,27.63
208,Punta Alta,AR,2021-09-16 01:37:55,-38.8759,-62.0736,52.68,54,0,9.91
209,Xinmin,CN,2021-09-16 01:37:55,41.9908,122.8253,68.25,91,100,5.32
210,Qingquan,CN,2021-09-16 01:37:56,30.4511,115.2559,81.28,66,7,3.09
211,Kamaishi,JP,2021-09-16 01:36:56,39.2667,141.8833,67.15,68,76,9.57
212,Prachuap Khiri Khan,TH,2021-09-16 01:33:01,12.2167,99.75,77.31,87,100,3.24
213,Saldanha,ZA,2021-09-16 01:37:56,-33.0117,17.9442,50.05,85,0,17.52
214,Mount Gambier,AU,2021-09-16 01:35:45,-37.8333,140.7667,55.31,62,1,9.22
215,Sitka,US,2021-09-16 01:37:56,57.0531,-135.33,53.49,76,90,6.91
216,Kodiak,US,2021-09-16 01:36:11,57.79,-152.4072,49.51,93,90,23.02
217,Khonsa,IN,2021-09-16 01:37:56,27.0167,95.5667,70.54,98,100,1.41
218,Mantua,IT,2021-09-16 01:37:57,45.1667,10.7833,74.44,77,100,3.0
219,Santa Cruz De La Palma,ES,2021-09-16 01:37:57,28.6835,-17.7642,75.34,78,20,13.8
220,Sokolo,ML,2021-09-16 01:37:57,14.7328,-6.1219,77.97,79,100,4.43
221,Ongandjera,NA,2021-09-16 01:37:57,-17.8833,15.0667,62.37,29,4,8.28
222,Vysokogornyy,RU,2021-09-16 01:37:58,50.1167,139.15,61.65,44,100,7.09
223,Kulhudhuffushi,MV,2021-09-16 01:37:58,6.6221,73.07,82.89,74,100,15.35
