City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Sao Joao Da Barra,BR,72.75,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
552,Tucurui,BR,73.35,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
554,Campoverde,PE,71.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
555,Palmares Do Sul,BR,58.23,clear sky,-30.2578,-50.5097,Restaurante e Pensão Lopes
562,Palanga,LT,53.55,overcast clouds,55.9175,21.0686,"Hotel ""Austėja"""
564,Phalaborwa,ZA,65.48,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
567,Tayga,RU,54.52,overcast clouds,56.06,85.6197,Gostinitsa Tayga
573,Nikko,JP,67.06,overcast clouds,36.75,139.6167,Nikko Senhime Monogatari
576,Anage,BR,71.15,clear sky,-14.6122,-41.1356,Lagoa Torta Anage Bahia
577,Laurel,US,73.72,mist,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
578,Eldama Ravine,KE,56.62,broken clouds,0.0516,35.7308,Chambai Springs Hotel
579,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,HOTEL MIAMI
581,Gazalkent,UZ,59.36,clear sky,41.5581,69.7708,Khumson Sanatoriy
585,Bereda,ES,58.41,scattered clouds,43.2686,-7.5406,Pazo de Verdes
586,Manono,CD,72.66,scattered clouds,-7.3,27.4167,Hotel hewa bora
587,Byron Bay,AU,72.05,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
588,Ambovombe,MG,66.65,clear sky,-25.1667,46.0833,RELAHARA
589,Seoul,KR,74.64,light rain,37.5683,126.9778,롯데호텔 서울
